时间,发布日期,现值,前值
2008-01-01,2008-02-14,4.3,4.1
2008-02-01,2008-03-16,4.0,4.3
2008-03-01,2008-04-14,4.0,4.0
2008-04-01,2008-05-15,3.9,4.0
2008-05-01,2008-06-14,4.2,3.9
2008-06-01,2008-07-15,5.0,4.2
2008-07-01,2008-08-14,5.6,5.0
2008-08-01,2008-09-14,5.4,5.6
2008-09-01,2008-10-15,4.9,5.4
2008-10-01,2008-11-14,3.7,4.9
2008-11-01,2008-12-15,1.1,3.7
2008-12-01,2009-01-14,0.1,1.1
2009-01-01,2025-05-27,0.0,0.1
2009-02-01,2009-03-17,0.2,0.0
2009-03-01,2009-04-14,-0.4,0.2
2009-04-01,2009-05-15,-0.7,-0.4
2009-05-01,2009-06-14,-1.3,-0.7
2009-06-01,2009-07-15,-1.4,-1.3
2009-07-01,2009-08-14,-2.1,-1.4
2009-08-01,2009-09-14,-1.5,-2.1
2009-09-01,2009-10-15,-1.3,-1.5
2009-10-01,2009-11-14,-0.2,-1.3
2009-11-01,2009-12-15,1.8,-0.2
2009-12-01,2010-01-14,2.7,1.8
2010-01-01,2010-02-14,2.6,2.7
2010-02-01,2010-03-17,2.1,2.6
2010-03-01,2010-04-14,2.3,2.1
2010-04-01,2010-05-15,2.2,2.3
2010-05-01,2010-06-14,2.0,2.2
2010-06-01,2010-07-15,1.1,2.0
2010-07-01,2010-08-14,1.2,1.1
2010-08-01,2010-09-14,1.1,1.2
2010-09-01,2010-10-15,1.1,1.1
2010-10-01,2010-11-14,1.2,1.1
2010-11-01,2010-12-15,1.1,1.2
2010-12-01,2011-01-14,1.5,1.1
2011-01-01,2011-02-14,1.6,1.5
2011-02-01,2011-03-17,2.1,1.6
2011-03-01,2011-04-14,2.7,2.1
2011-04-01,2011-05-15,3.2,2.7
2011-05-01,2011-06-14,3.6,3.2
2011-06-01,2011-07-15,3.6,3.6
2011-07-01,2011-08-14,3.6,3.6
2011-08-01,2011-09-14,3.8,3.6
2011-09-01,2011-10-15,3.9,3.8
2011-10-01,2011-11-14,3.5,3.9
2011-11-01,2011-12-15,3.4,3.5
2011-12-01,2012-01-14,3.0,3.4
2012-01-01,2012-02-14,2.9,3.0
2012-02-01,2012-03-16,2.9,2.9
2012-03-01,2012-04-14,2.7,2.9
2012-04-01,2012-05-15,2.3,2.7
2012-05-01,2012-06-14,1.7,2.3
2012-06-01,2012-07-15,1.7,1.7
2012-07-01,2012-08-14,1.4,1.7
2012-08-01,2012-09-14,1.7,1.4
2012-09-01,2012-10-15,2.0,1.7
2012-10-01,2012-11-14,2.2,2.0
2012-11-01,2012-12-15,1.8,2.2
2012-12-01,2013-01-14,1.7,1.8
2013-01-01,2013-02-14,1.6,1.7
2013-02-01,2013-03-17,2.0,1.6
2013-03-01,2013-04-14,1.5,2.0
2013-04-01,2013-05-15,1.1,1.5
2013-05-01,2013-06-14,1.4,1.1
2013-06-01,2013-07-15,1.8,1.4
2013-07-01,2013-08-14,2.0,1.8
2013-08-01,2013-09-14,1.5,2.0
2013-09-01,2013-10-15,1.2,1.5
2013-10-01,2013-11-14,1.0,1.2
2013-11-01,2013-12-15,1.2,1.0
2013-12-01,2014-01-14,1.5,1.2
2014-01-01,2014-02-14,1.6,1.5
2014-02-01,2014-03-17,1.1,1.6
2014-03-01,2014-04-14,1.5,1.1
2014-04-01,2014-05-15,2.0,1.5
2014-05-01,2014-06-14,2.1,2.0
2014-06-01,2014-07-15,2.1,2.1
2014-07-01,2014-08-14,2.0,2.1
2014-08-01,2014-09-14,1.7,2.0
2014-09-01,2014-10-15,1.7,1.7
2014-10-01,2014-11-14,1.7,1.7
2014-11-01,2014-12-15,1.3,1.7
2014-12-01,2015-01-14,0.8,1.3
2015-01-01,2015-02-14,-0.1,0.8
2015-02-01,2015-03-17,0.0,-0.1
2015-03-01,2015-04-14,-0.1,0.0
2015-04-01,2015-05-15,-0.2,-0.1
2015-05-01,2015-06-18,0.0,-0.2
2015-06-01,2015-07-17,0.1,0.0
2015-07-01,2015-08-19,0.2,0.1
2015-08-01,2015-09-16,0.2,0.2
2015-09-01,2015-10-15,0.0,0.2
2015-10-01,2015-11-17,0.2,0.0
2015-11-01,2015-12-15,0.5,0.2
2015-12-01,2016-01-20,0.7,0.5
2016-01-01,2016-02-19,1.4,0.7
2016-02-01,2016-03-16,1.0,1.4
2016-03-01,2016-04-14,0.9,1.0
2016-04-01,2016-05-17,1.1,0.9
2016-05-01,2016-06-16,1.0,1.1
2016-06-01,2016-07-15,1.0,1.0
2016-07-01,2016-08-16,0.8,1.0
2016-08-01,2016-09-16,1.1,0.8
2016-09-01,2016-10-18,1.5,1.1
2016-10-01,2016-11-17,1.6,1.5
2016-11-01,2016-12-15,1.7,1.6
2016-12-01,2017-01-18,2.1,1.7
2017-01-01,2017-02-15,2.5,2.1
2017-02-01,2017-03-15,2.7,2.5
2017-03-01,2017-04-14,2.4,2.7
2017-04-01,2017-05-12,2.2,2.4
2017-05-01,2017-06-14,1.9,2.2
2017-06-01,2017-07-14,1.6,1.9
2017-07-01,2017-08-11,1.7,1.6
2017-08-01,2017-09-14,1.9,1.7
2017-09-01,2017-10-13,2.2,1.9
2017-10-01,2017-11-15,2.0,2.2
2017-11-01,2017-12-13,2.2,2.0
2017-12-01,2018-01-12,2.1,2.2
2018-01-01,2018-02-14,2.1,2.1
2018-02-01,2018-03-13,2.2,2.1
2018-03-01,2018-04-11,2.4,2.2
2018-04-01,2018-05-10,2.5,2.4
2018-05-01,2018-06-12,2.8,2.5
2018-06-01,2018-07-12,2.9,2.8
2018-07-01,2018-08-10,2.9,2.9
2018-08-01,2018-09-13,2.7,2.9
2018-09-01,2018-10-11,2.3,2.7
2018-10-01,2018-11-14,2.5,2.3
2018-11-01,2018-12-12,2.2,2.5
2018-12-01,2019-01-11,1.9,2.2
2019-01-01,2019-02-13,1.6,1.9
2019-02-01,2019-03-12,1.5,1.6
2019-03-01,2019-04-10,1.9,1.5
2019-04-01,2019-05-10,2.0,1.9
2019-05-01,2019-06-12,1.8,2.0
2019-06-01,2019-07-11,1.6,1.8
2019-07-01,2019-08-13,1.8,1.6
2019-08-01,2019-09-12,1.7,1.8
2019-09-01,2019-10-10,1.7,1.7
2019-10-01,2019-11-13,1.8,1.7
2019-11-01,2019-12-11,2.1,1.8
2019-12-01,2020-01-14,2.3,2.1
2020-01-01,2020-02-13,2.5,2.3
2020-02-01,2020-03-11,2.3,2.5
2020-03-01,2020-04-10,1.5,2.3
2020-04-01,2020-05-12,0.3,1.5
2020-05-01,2020-06-10,0.1,0.3
2020-06-01,2020-07-14,0.6,0.1
2020-07-01,2020-08-12,1.0,0.6
2020-08-01,2020-09-11,1.3,1.0
2020-09-01,2020-10-13,1.4,1.3
2020-10-01,2020-11-12,1.2,1.4
2020-11-01,2020-12-10,1.2,1.2
2020-12-01,2021-01-13,1.4,1.2
2021-01-01,2021-02-10,1.4,1.4
2021-02-01,2021-03-10,1.7,1.4
2021-03-01,2021-04-13,2.6,1.7
2021-04-01,2021-05-12,4.2,2.6
2021-05-01,2021-06-10,5.0,4.2
2021-06-01,2021-07-13,5.4,5.0
2021-07-01,2021-08-11,5.4,5.4
2021-08-01,2021-09-14,5.3,5.4
2021-09-01,2021-10-13,5.4,5.3
2021-10-01,2021-11-10,6.2,5.4
2021-11-01,2021-12-10,6.8,6.2
2021-12-01,2022-01-12,7.0,6.8
2022-01-01,2022-02-10,7.5,7.0
2022-02-01,2022-03-10,7.9,7.5
2022-03-01,2022-04-12,8.5,7.9
2022-04-01,2022-05-11,8.3,8.5
2022-05-01,2022-06-10,8.6,8.3
2022-06-01,2022-07-13,9.1,8.6
2022-07-01,2022-08-10,8.5,9.1
2022-08-01,2022-09-13,8.3,8.5
2022-09-01,2022-10-13,8.2,8.3
2022-10-01,2022-11-10,7.7,8.2
2022-11-01,2022-12-13,7.1,7.7
2022-12-01,2023-01-12,6.5,7.1
2023-01-01,2023-02-14,6.4,6.5
2023-02-01,2023-03-14,6.0,6.4
2023-03-01,2023-04-12,5.0,6.0
2023-04-01,2023-05-10,4.9,5.0
2023-05-01,2023-06-13,4.0,4.9
2023-06-01,2023-07-12,3.0,4.0
2023-07-01,2023-08-10,3.2,3.0
2023-08-01,2023-09-13,3.7,3.2
2023-09-01,2023-10-12,3.7,3.7
2023-10-01,2023-11-14,3.2,3.7
2023-11-01,2023-12-12,3.1,3.2
2023-12-01,2024-01-11,3.4,3.1
2024-01-01,2024-02-13,3.1,3.4
2024-02-01,2024-03-12,3.2,3.1
2024-03-01,2024-04-10,3.5,3.2
2024-04-01,2024-05-15,3.4,3.5
2024-05-01,2024-06-12,3.3,3.4
2024-06-01,2024-07-11,3.0,3.3
2024-07-01,2024-08-14,2.9,3.0
2024-08-01,2024-09-11,2.5,2.9
2024-09-01,2024-10-10,2.4,2.5
2024-10-01,2024-11-13,2.6,2.4
2024-11-01,2024-12-11,2.7,2.6
2024-12-01,2025-01-15,2.9,2.7
2025-01-01,2025-02-12,3.0,2.9
2025-02-01,2025-03-12,2.8,3.0
2025-03-01,2025-04-10,2.4,2.8
2025-04-01,2025-05-13,2.3,2.4
2025-05-01,2025-06-11,2.4,2.3
2025-06-01,2025-07-15,2.7,2.4
2025-07-01,2025-08-12,2.7,2.7
2025-08-01,2025-09-11,2.9,2.7
2025-09-01,2025-10-15,,2.9
