商品,日期,今值,预测值,前值
中国GDP年率报告,2011-01-20,9.8,9.5,9.6
中国GDP年率报告,2011-04-15,9.7,9.4,9.8
中国GDP年率报告,2011-07-13,9.5,9.5,9.7
中国GDP年率报告,2011-10-18,9.1,9.2,9.5
中国GDP年率报告,2012-01-17,8.9,8.8,9.1
中国GDP年率报告,2012-04-13,8.1,8.3,8.9
中国GDP年率报告,2012-07-13,7.6,7.6,8.1
中国GDP年率报告,2012-10-18,7.4,7.4,7.6
中国GDP年率报告,2013-01-18,7.9,7.8,7.4
中国GDP年率报告,2013-04-15,7.7,8.0,7.9
中国GDP年率报告,2013-07-15,7.5,7.5,7.7
中国GDP年率报告,2013-10-18,7.8,7.8,7.5
中国GDP年率报告,2014-01-20,7.7,7.6,7.8
中国GDP年率报告,2014-04-16,7.4,7.3,7.7
中国GDP年率报告,2014-07-16,7.5,7.4,7.4
中国GDP年率报告,2014-10-21,7.3,7.2,7.5
中国GDP年率报告,2015-01-20,7.3,7.2,7.3
中国GDP年率报告,2015-04-15,7.0,7.0,7.3
中国GDP年率报告,2015-07-15,7.0,6.9,7.0
中国GDP年率报告,2015-10-19,6.9,6.8,7.0
中国GDP年率报告,2016-01-19,6.8,6.8,6.9
中国GDP年率报告,2016-04-15,6.7,6.7,6.8
中国GDP年率报告,2016-07-15,6.7,6.6,6.7
中国GDP年率报告,2016-10-19,6.7,6.7,6.7
中国GDP年率报告,2017-01-20,6.8,6.7,6.7
中国GDP年率报告,2017-04-17,6.9,6.8,6.8
中国GDP年率报告,2017-07-17,6.9,6.8,6.9
中国GDP年率报告,2017-10-19,6.8,6.8,6.9
中国GDP年率报告,2018-01-18,6.8,6.7,6.8
中国GDP年率报告,2018-04-17,6.8,6.8,6.8
中国GDP年率报告,2018-07-16,6.7,6.7,6.8
中国GDP年率报告,2018-10-19,6.5,6.6,6.7
中国GDP年率报告,2019-01-21,6.4,6.4,6.5
中国GDP年率报告,2019-04-17,6.4,6.3,6.4
中国GDP年率报告,2019-07-15,6.2,6.2,6.4
中国GDP年率报告,2019-10-18,6.0,6.1,6.2
中国GDP年率报告,2020-01-17,6.0,6.0,6.0
中国GDP年率报告,2020-04-17,-6.8,-6.5,6.0
中国GDP年率报告,2020-07-16,3.2,2.5,-6.8
中国GDP年率报告,2020-10-19,4.9,5.2,3.2
中国GDP年率报告,2021-01-18,6.5,6.1,4.9
中国GDP年率报告,2021-04-16,18.3,19.0,6.5
中国GDP年率报告,2021-07-15,7.9,8.1,18.3
中国GDP年率报告,2021-10-18,4.9,5.2,7.9
中国GDP年率报告,2022-01-17,4.0,3.6,4.9
中国GDP年率报告,2022-04-18,4.8,4.4,4.0
中国GDP年率报告,2022-07-15,0.4,1.0,4.8
中国GDP年率报告,2022-10-18,,3.4,0.4
中国GDP年率报告,2022-10-24,3.9,3.4,0.4
中国GDP年率报告,2022-10-26,,3.4,0.4
中国GDP年率报告,2023-01-17,2.9,1.8,3.9
中国GDP年率报告,2023-04-18,4.5,4.0,2.9
中国GDP年率报告,2023-07-17,6.3,7.3,4.5
中国GDP年率报告,2023-10-18,4.9,4.4,6.3
中国GDP年率报告,2024-01-17,5.2,5.3,4.9
中国GDP年率报告,2024-04-16,5.3,4.8,5.2
中国GDP年率报告,2024-07-15,4.7,5.1,5.3
中国GDP年率报告,2024-10-18,4.6,4.6,4.7
中国GDP年率报告,2025-01-17,5.4,5.0,4.6
中国GDP年率报告,2025-04-16,5.4,5.2,5.4
中国GDP年率报告,2025-07-15,5.2,,5.4
