,0
maxAge,86400
priceHint,2
previousClose,12441.1
open,12483.194
dayLow,12295.069
dayHigh,12665.356
regularMarketPreviousClose,12441.1
regularMarketOpen,12483.194
regularMarketDayLow,12295.069
regularMarketDayHigh,12665.356
volume,869244399
regularMarketVolume,869244399
averageVolume,1956129
averageVolume10days,2945950
averageDailyVolume10Day,2945950
bid,0.0
ask,0.0
bidSize,0
askSize,0
fiftyTwoWeekLow,7908.52
fiftyTwoWeekHigh,12665.356
fiftyDayAverage,10991.963
twoHundredDayAverage,10569.378
currency,CNY
tradeable,False
52WeekChange,54.39346
quoteType,INDEX
symbol,399001.SZ
language,en-US
region,US
typeDisp,Index
quoteSourceName,Delayed Quote
triggerable,False
customPriceAlertConfidence,LOW
longName,399001.SZ
shortName,399001.SZ
exchange,SHZ
messageBoardId,finmb_INDEX399001.SZ
exchangeTimezoneName,Asia/Shanghai
exchangeTimezoneShortName,CST
gmtOffSetMilliseconds,28800000
market,cn_market
esgPopulated,False
regularMarketChangePercent,-1.4279003
regularMarketPrice,12295.069
marketState,PREPRE
corporateActions,[]
regularMarketTime,1756283347
exchangeDataDelayedBy,15
cryptoTradeable,False
hasPrePostMarketData,False
firstTradeDateMilliseconds,872213400000
regularMarketChange,-178.10449
regularMarketDayRange,12295.069 - 12665.356
fullExchangeName,Shenzhen
averageDailyVolume3Month,1956129
fiftyTwoWeekLowChange,4386.5493
fiftyTwoWeekLowChangePercent,0.5546612
fiftyTwoWeekRange,7908.52 - 12665.356
fiftyTwoWeekHighChange,-370.2871
fiftyTwoWeekHighChangePercent,-0.029236216
fiftyTwoWeekChangePercent,54.39346
fiftyDayAverageChange,1303.1064
fiftyDayAverageChangePercent,0.118550844
twoHundredDayAverageChange,1725.6914
twoHundredDayAverageChangePercent,0.16327275
sourceInterval,15
trailingPegRatio,
