序号,板块,涨跌幅,总成交量,总成交额,净流入,上涨家数,下跌家数,均价,领涨股,领涨股-最新价,领涨股-涨跌幅
1,计算机应用,2.78,3948.84,674.94,43.16,227,28,17.09,华信永道,19.12,29.98
2,传媒,2.56,7592.22,832.39,35.88,115,14,10.96,流金科技,6.15,13.89
3,通信服务,1.58,937.66,108.19,2.85,36,8,11.54,广脉科技,10.71,12.26
4,计算机设备,1.46,1063.47,171.57,1.78,63,17,16.13,同辉信息,4.48,13.71
5,贸易,1.41,535.35,46.56,-0.44,9,8,8.7,汇鸿集团,3.72,10.06
6,通信设备,1.3,1216.11,275.88,7.08,69,18,22.68,浩瀚深度,32.3,11.38
7,房地产服务,1.17,118.47,6.23,0.58,5,3,5.26,珠江股份,4.12,4.83
8,保险及其他,1.1,815.22,78.98,0.39,30,5,9.69,亚联发展,6.61,9.98
9,证券,0.9,1954.81,188.75,17.29,49,1,9.66,华创云信,9.66,3.54
10,教育,0.88,564.53,47.47,-0.93,11,7,8.41,昂立教育,15.09,9.98
11,房地产开发,0.58,2845.73,128.73,-1.88,62,21,4.52,光大嘉宝,2.96,10.04
12,消费电子,0.46,1006.76,172.83,-3.0,56,39,17.17,智新电子,8.33,8.04
13,自动化设备,0.44,430.97,100.94,-2.34,44,44,23.42,常辅股份,10.26,11.89
14,黑色家电,0.43,250.46,18.38,0.43,5,3,7.34,创维数字,12.63,1.61
15,农业服务,0.41,102.02,8.54,-0.01,6,9,8.37,普莱柯,23.05,5.78
16,非金属材料,0.36,32.33,8.74,-0.94,5,6,27.03,秉扬科技,6.48,3.51
17,光学光电子,0.32,1680.88,148.85,-7.05,52,49,8.86,五方光电,16.27,10.01
18,厨卫电器,0.32,50.3,5.3,-0.74,5,3,10.54,万和电气,8.4,2.31
19,银行,0.29,2300.48,129.83,0.69,27,8,5.64,渝农商行,4.14,1.97
20,互联网电商,0.26,279.34,32.47,-0.29,8,12,11.62,焦点科技,37.24,8.07
21,农产品加工,0.18,545.82,45.17,0.61,18,20,8.28,中宠股份,26.3,3.91
22,景点及旅游,0.17,158.46,18.21,-0.77,9,12,11.49,大连圣亚,22.6,7.41
23,综合,0.09,360.78,25.63,-2.59,11,15,7.1,南京新百,8.21,4.99
24,仪器仪表,0.05,194.78,30.0,-0.33,27,24,15.4,基康仪器,9.85,4.23
25,包装印刷,0.04,351.26,30.52,-2.38,15,28,8.69,沪江材料,12.3,12.23
26,其他电子,0.01,480.25,53.23,-1.8,13,21,11.08,盈方微,7.55,10.06
27,纺织制造,-0.0,466.15,26.92,-3.9,13,22,5.78,浙文影业,5.03,6.34
28,钢铁,-0.01,1002.77,40.01,-2.01,20,17,3.99,鄂尔多斯,9.59,3.56
29,电力,-0.13,1701.46,98.55,0.95,32,56,5.79,*ST惠天,2.88,5.11
30,建筑材料,-0.13,706.22,62.65,-4.8,13,56,8.87,科创新材,7.16,14.01
31,小家电,-0.14,82.58,16.15,-1.7,7,19,19.56,海达尔,14.95,8.1
32,食品加工制造,-0.14,1149.68,138.31,-6.44,28,53,12.03,一鸣食品,17.66,10.03
33,汽车服务,-0.15,419.01,26.07,-2.25,4,7,6.22,德众汽车,4.17,6.11
34,造纸,-0.17,279.36,21.47,0.15,8,14,7.69,民士达,16.8,2.5
35,半导体及元件,-0.21,1138.64,410.08,-12.88,91,107,36.02,东晶电子,10.18,10.05
36,白色家电,-0.22,304.65,49.89,0.29,10,25,16.38,合肥高科,10.82,4.74
37,其他社会服务,-0.26,184.24,38.33,-2.0,14,20,20.8,力盛体育,20.6,9.98
38,专用设备,-0.26,1654.5,191.79,-11.24,57,139,11.59,标准股份,7.0,10.06
39,服装家纺,-0.28,552.77,37.97,-0.78,17,40,6.87,龙头股份,9.59,9.98
40,国防军工,-0.28,999.93,175.43,-6.39,59,80,17.54,北方导航,12.58,4.4
41,养殖业,-0.3,681.04,73.64,0.03,10,15,10.81,罗牛山,6.3,4.65
42,建筑装饰,-0.32,2024.46,168.75,-9.64,38,112,8.34,中化岩土,2.93,10.15
43,通用设备,-0.32,1462.88,151.47,-6.26,51,132,10.36,丰光精密,13.04,21.3
44,金属新材料,-0.35,168.88,22.26,-0.88,6,20,13.18,惠同新材,8.3,7.51
45,机场航运,-0.36,334.6,20.97,-1.45,3,9,6.27,海南机场,4.14,1.22
46,煤炭开采加工,-0.37,665.58,60.94,-3.61,7,27,9.16,华电能源,2.26,1.8
47,饮料制造,-0.4,286.19,144.48,-12.44,18,26,50.48,水井坊,57.73,2.45
48,家用轻工,-0.42,558.39,60.3,-4.89,33,70,10.8,舒华体育,11.03,3.47
49,燃气,-0.43,236.84,17.25,-1.29,9,20,7.29,新奥股份,15.3,1.66
50,化学原料,-0.43,624.46,44.18,-3.81,13,46,7.07,三孚股份,18.48,10.0
51,非汽车交运,-0.45,350.65,38.13,-2.23,8,34,10.87,铁大科技,6.97,3.26
52,贵金属,-0.47,149.01,16.92,-1.81,2,8,11.35,中金黄金,10.67,0.76
53,种植业与林业,-0.49,202.59,14.32,-1.58,3,19,7.07,秋乐种业,9.2,2.22
54,环保,-0.5,764.17,55.28,-3.81,30,109,7.23,恒合股份,6.65,6.91
55,医药商业,-0.57,236.26,36.55,2.44,6,25,15.47,润达医疗,25.06,10.01
56,港口航运,-0.57,640.31,39.84,-2.61,11,20,6.22,渤海轮渡,9.0,1.58
57,油气开采及服务,-0.6,658.59,31.12,0.9,3,15,4.72,新潮能源,2.8,3.32
58,医疗器械,-0.64,487.8,149.1,-3.29,26,98,30.57,英科医疗,22.26,12.31
59,工业金属,-0.64,921.37,73.03,-7.18,9,39,7.93,新威凌,11.2,2.56
60,物流,-0.69,455.61,43.12,-1.54,11,34,9.46,华光源海,6.91,3.91
61,电力设备,-0.69,3104.01,486.13,-45.32,79,279,15.66,天宏锂电,13.76,25.89
62,化学制品,-0.78,1233.39,140.04,-13.22,36,183,11.35,大禹生物,5.18,10.45
63,公路铁路运输,-0.87,715.93,45.17,-2.54,11,19,6.31,东莞控股,11.83,2.87
64,汽车整车,-0.92,1408.58,220.56,7.43,5,20,15.66,赛力斯,80.43,8.11
65,电子化学品,-0.92,337.68,48.36,-4.34,10,27,14.32,硅烷科技,14.83,2.42
66,小金属,-0.93,899.73,198.43,-0.09,7,35,22.05,吉翔股份,11.68,2.01
67,美容护理,-0.94,157.24,24.89,-2.16,4,27,15.83,*ST美谷,3.62,3.73
68,医疗服务,-0.96,552.93,106.9,-7.97,11,41,19.33,美年健康,6.4,6.49
69,化学制药,-0.98,1665.79,251.45,-20.57,22,132,15.1,海创药业,52.88,7.26
70,零售,-1.07,1404.76,93.17,-7.36,11,58,6.63,汇通能源,26.63,6.35
71,化工合成材料,-1.08,824.95,73.84,-7.97,19,93,8.95,三维股份,6.84,4.43
72,中药,-1.17,795.21,112.45,-10.02,11,62,14.14,昆药集团,22.03,4.01
73,汽车零部件,-1.43,3410.62,374.22,-30.73,53,178,10.97,天铭科技,13.91,11.91
74,生物制品,-1.52,538.09,121.31,-7.07,12,43,22.55,康乐卫士,17.69,3.15
75,酒店及餐饮,-1.62,115.01,14.71,-1.42,0,9,12.79,西安旅游,14.1,-0.56
76,石油加工贸易,-2.03,646.81,44.67,-1.25,3,21,6.91,恒通股份,10.2,5.26
