时间,前值,现值,发布日期
2023年12月,5.8,,2024-01-05
2023年11月,5.7,5.8,2023-12-01
2023年10月,5.5,5.7,2023-11-03
2023年09月,5.5,5.5,2023-10-06
2023年08月,5.5,5.5,2023-09-08
2023年07月,5.4,5.5,2023-08-04
2023年06月,5.2,5.4,2023-07-07
2023年05月,5.0,5.2,2023-06-09
2023年04月,5.0,5.0,2023-05-05
2023年03月,5.0,5.0,2023-04-06
2023年02月,5.0,5.0,2023-03-10
2023年01月,5.0,5.0,2023-02-10
2022年12月,5.1,5.0,2023-01-06
2022年11月,5.2,5.1,2022-12-02
2022年10月,5.2,5.2,2022-11-04
2022年09月,5.4,5.2,2022-10-07
2022年08月,4.9,5.4,2022-09-09
2022年07月,4.9,4.9,2022-08-05
2022年06月,5.1,4.9,2022-07-08
2022年05月,5.2,5.1,2022-06-10
2022年04月,5.3,5.2,2022-05-06
2022年03月,5.5,5.3,2022-04-08
2022年02月,6.5,5.5,2022-03-11
2022年01月,5.9,6.5,2022-02-04
2021年12月,6.0,5.9,2022-01-07
2021年11月,6.7,6.0,2021-12-03
2021年10月,6.9,6.7,2021-11-05
2021年09月,7.1,6.9,2021-10-08
2021年08月,7.5,7.1,2021-09-10
2021年07月,7.8,7.5,2021-08-06
2021年06月,8.2,7.8,2021-07-09
2021年05月,8.1,8.2,2021-06-04
2021年04月,7.5,8.1,2021-05-07
2021年03月,8.2,7.5,2021-04-09
2021年02月,9.4,8.2,2021-03-12
2021年01月,8.6,9.4,2021-02-05
2020年12月,8.5,8.6,2021-01-08
2020年11月,8.9,8.5,2020-12-04
2020年10月,9.0,8.9,2020-11-06
2020年09月,10.2,9.0,2020-10-09
2020年08月,10.9,10.2,2020-09-04
2020年07月,12.3,10.9,2020-08-07
2020年06月,13.7,12.3,2020-07-10
2020年05月,13.0,13.7,2020-06-10
2020年04月,7.8,13.0,2020-05-08
2020年03月,5.6,7.8,2020-04-09
2020年02月,5.5,5.6,2020-03-06
2020年01月,5.6,5.5,2020-02-07
2019年12月,5.9,5.6,2020-01-10
2019年11月,5.5,5.9,2019-12-06
2019年10月,5.5,5.5,2019-11-08
2019年09月,5.7,5.5,2019-10-11
2019年08月,5.7,5.7,2019-09-06
2019年07月,5.5,5.7,2019-08-09
2019年06月,5.4,5.5,2019-07-05
2019年05月,5.7,5.4,2019-06-07
2019年04月,5.8,5.7,2019-05-10
2019年03月,5.8,5.8,2019-04-05
2019年02月,5.8,5.8,2019-03-08
2019年01月,5.6,5.8,2019-02-08
2018年12月,5.6,5.6,2019-01-04
2018年11月,5.8,5.6,2018-12-07
2018年10月,5.9,5.8,2018-11-02
2018年09月,6.0,5.9,2018-10-05
2018年08月,5.8,6.0,2018-09-07
2018年07月,6.0,5.8,2018-08-10
2018年06月,5.8,6.0,2018-07-06
2018年05月,5.8,5.8,2018-06-08
2018年04月,5.8,5.8,2018-05-11
2018年03月,5.8,5.8,2018-04-06
2018年02月,5.9,5.8,2018-03-09
2018年01月,5.7,5.9,2018-02-09
2017年12月,5.9,5.7,2018-01-05
2017年11月,6.3,5.9,2017-12-01
2017年10月,6.2,6.3,2017-11-03
2017年09月,6.2,6.2,2017-10-06
2017年08月,6.3,6.2,2017-09-08
2017年07月,6.5,6.3,2017-08-04
2017年06月,6.6,6.5,2017-07-07
2017年05月,6.5,6.6,2017-06-09
2017年04月,6.7,6.5,2017-05-05
2017年03月,6.6,6.7,2017-04-07
2017年02月,6.8,6.6,2017-03-10
2017年01月,6.9,6.8,2017-02-10
2016年12月,6.8,6.9,2017-01-06
2016年11月,7.0,6.8,2016-12-02
2016年10月,7.0,7.0,2016-11-04
2016年09月,7.0,7.0,2016-10-07
2016年08月,6.9,7.0,2016-09-09
2016年07月,6.8,6.9,2016-08-05
2016年06月,6.9,6.8,2016-07-08
2016年05月,7.1,6.9,2016-06-10
2016年04月,7.1,7.1,2016-05-06
2016年03月,7.3,7.1,2016-04-08
2016年02月,7.2,7.3,2016-03-11
2016年01月,7.1,7.2,2016-02-05
2015年12月,7.1,7.1,2016-01-08
2015年11月,7.0,7.1,2015-12-04
2015年10月,7.1,7.0,2015-11-06
2015年09月,7.0,7.1,2015-10-09
2015年08月,6.8,7.0,2015-09-04
2015年07月,6.8,6.8,2015-08-07
2015年06月,6.8,6.8,2015-07-10
2015年05月,6.8,6.8,2015-06-08
2015年04月,6.8,6.8,2015-05-09
2015年03月,6.8,6.8,2015-04-08
2015年02月,6.6,6.8,2015-03-11
2015年01月,6.6,6.6,2015-02-08
2014年12月,6.6,6.6,2015-01-08
2014年11月,6.5,6.6,2014-12-09
2014年10月,6.8,6.5,2014-11-08
2014年09月,7.0,6.8,2014-10-09
2014年08月,7.0,7.0,2014-09-08
2014年07月,7.1,7.0,2014-08-08
2014年06月,7.0,7.1,2014-07-09
2014年05月,6.9,7.0,2014-06-08
2014年04月,6.9,6.9,2014-05-09
2014年03月,7.0,6.9,2014-04-08
2014年02月,7.0,7.0,2014-03-11
2014年01月,7.2,7.0,2014-02-08
2013年12月,6.9,7.2,2014-01-08
2013年11月,6.9,6.9,2013-12-09
2013年10月,6.9,6.9,2013-11-08
2013年09月,7.1,6.9,2013-10-09
2013年08月,7.2,7.1,2013-09-08
2013年07月,7.1,7.2,2013-08-08
2013年06月,7.1,7.1,2013-07-09
2013年05月,7.2,7.1,2013-06-08
2013年04月,7.2,7.2,2013-05-09
2013年03月,7.0,7.2,2013-04-08
2013年02月,7.0,7.0,2013-03-11
2013年01月,7.1,7.0,2013-02-08
2012年12月,7.2,7.1,2013-01-08
2012年11月,7.4,7.2,2012-12-09
2012年10月,7.3,7.4,2012-11-08
2012年09月,7.3,7.3,2012-10-09
2012年08月,7.3,7.3,2012-09-08
2012年07月,7.2,7.3,2012-08-08
2012年06月,7.3,7.2,2012-07-09
2012年05月,7.3,7.3,2012-06-08
2012年04月,7.2,7.3,2012-05-09
2012年03月,7.4,7.2,2012-04-08
2012年02月,7.5,7.4,2012-03-10
2012年01月,7.5,7.5,2012-02-08
2011年12月,7.5,7.5,2012-01-08
2011年11月,7.3,7.5,2011-12-09
2011年10月,7.2,7.3,2011-11-08
2011年09月,7.3,7.2,2011-10-09
2011年08月,7.3,7.3,2011-09-08
2011年07月,7.4,7.3,2011-08-08
2011年06月,7.4,7.4,2011-07-09
2011年05月,7.6,7.4,2011-06-08
2011年04月,7.7,7.6,2011-05-09
2011年03月,7.7,7.7,2011-04-08
2011年02月,7.7,7.7,2011-03-11
2011年01月,7.6,7.7,2011-02-08
2010年12月,7.6,7.6,2011-01-08
2010年11月,7.8,7.6,2010-12-09
2010年10月,8.0,7.8,2010-11-08
2010年09月,8.1,8.0,2010-10-09
2010年08月,8.1,8.1,2010-09-08
2010年07月,7.9,8.1,2010-08-08
2010年06月,8.1,7.9,2010-07-09
2010年05月,8.1,8.1,2010-06-08
2010年04月,8.2,8.1,2010-05-09
2010年03月,8.2,8.2,2010-04-08
2010年02月,8.2,8.2,2010-03-11
2010年01月,8.5,8.2,2010-02-08
2009年12月,8.4,8.5,2010-01-08
2009年11月,8.3,8.4,2009-12-09
2009年10月,8.3,8.3,2009-11-08
2009年09月,8.7,8.3,2009-10-09
2009年08月,8.6,8.7,2009-09-08
2009年07月,8.6,8.6,2009-08-08
2009年06月,8.5,8.6,2009-07-09
2009年05月,8.2,8.5,2009-06-08
2009年04月,8.1,8.2,2009-05-09
2009年03月,8.0,8.1,2009-04-08
2009年02月,7.3,8.0,2009-03-11
2009年01月,6.6,7.3,2009-02-08
2008年12月,6.3,6.6,2009-01-08
2008年11月,6.2,6.3,2008-12-09
2008年10月,6.1,6.2,2008-11-08
2008年09月,6.1,6.1,2008-10-09
2008年08月,6.1,6.1,2008-09-08
2008年07月,6.2,6.1,2008-08-08
2008年06月,6.1,6.2,2008-07-09
2008年05月,6.1,6.1,2008-06-08
2008年04月,6.0,6.1,2008-05-09
2008年03月,5.8,6.0,2008-04-08
2008年02月,5.8,5.8,2008-03-10
2008年01月,5.9,5.8,2008-02-08
